set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,2,891.9061536,776,23,6.21,3,2,,0.7930916,891.9061536,2.95031916,9.250708662,776
,2,846.4007376,782.5,19,11.38,3,2,,1.056142262,846.4007376,2.927576033,8.620068987,782.5
,2,773.592072,794,16,17.36,3,2,,1.239549721,773.592072,2.88851201,8.008655824,794
,2,651.6375571,817.5,13,26,3,2,,1.414973348,651.6375571,2.814006107,7.217783156,817.5
,2,488.7281678,871,10,31.2,3,2,,1.494154594,488.7281678,2.68906737,6.191806441,871
,3,1713.733967,1218,30,10.75,3,2,,1.031408464,1713.733967,3.233943405,10.99927984,1218
,3,1650.936492,1225,23,28.26,3,2,,1.451172158,1650.936492,3.217730367,10.08917495,1225
,3,1549.914469,1236.5,19,50.39,3,2,,1.702344358,1549.914469,3.190307733,9.393666443,1236.5
,3,1409.757788,1258,16,76.6,3,2,,1.88422877,1409.757788,3.149144502,8.731282532,1258
,3,1181.320599,1306.5,13,108.56,3,2,,2.035669835,1181.320599,3.072367777,7.880467755,1306.5
,3,0,0,10,0,3,2,,#NUM!,0,#NUM!,#NUM!,0
12,1,819.097488,604,30,0.8,4,2,,-0.096910013,819.097488,2.913335594,9.908829394,604
,1,789.7717755,603.5,23,2.16,4,2,,0.334453751,789.7717755,2.897501609,9.085099536,603.5
,1,749.3225168,607,19,4,4,2,,0.602059991,749.3225168,2.874668783,8.464286817,607
,1,691.6823232,613,16,6.37,4,2,,0.804139432,691.6823232,2.839906677,7.873893225,613
,1,591.570408,630.5,13,10.03,4,2,,1.001300933,591.570408,2.772006441,7.11005614,630.5
,1,455.05416,666.5,10,12.7,4,2,,1.103803721,455.05416,2.658063089,6.120416445,666.5
,2,1232.286665,780,30,1.99,4,2,,0.298853076,1232.286665,3.090711749,10.51212071,780
,2,1187.691358,783.5,23,5.47,4,2,,0.737987326,1187.691358,3.074703596,9.640715342,783.5
,2,1127.624208,790,19,10.33,4,2,,1.014100322,1127.624208,3.052164391,8.986911803,790
,2,1029.33251,800.5,16,16.31,4,2,,1.212453961,1029.33251,3.01255569,8.35257793,800.5
,2,872.7938789,826,13,25.11,4,2,,1.399846713,872.7938789,2.940911692,7.543289554,826
,2,652.5476654,878,10,30.5,4,2,,1.484299839,652.5476654,2.81461224,6.480884187,878
,3,2333.517732,1223.5,30,10.13,4,2,,1.005609445,2333.517732,3.368011105,11.45527055,1223.5
,3,2242.5069,1230.5,23,26.67,4,2,,1.426023016,2242.5069,3.350733788,10.50620641,1230.5
,3,2112.361411,1242.5,19,47.98,4,2,,1.681060244,2112.361411,3.324768225,9.789577159,1242.5
,3,1917.59823,1264,16,73.42,4,2,,1.86581438,1917.59823,3.28275762,9.101736755,1264
,3,1611.801835,1312.5,13,105.4,4,2,,2.022840611,1611.801835,3.207311646,8.226591945,1312.5
,3,0,0,10,0,4,2,,#NUM!,0,#NUM!,#NUM!,0
13,1,1073.927818,600.5,30,0.62,4,2,,-0.207608311,1073.927818,3.030975092,10.30894455,600.5
,1,1037.523485,601.5,23,1.81,4,2,,0.257678575,1037.523485,3.015997936,9.456644084,601.5
,1,988.9843744,605.5,19,3.42,4,2,,0.534026106,988.9843744,2.99518943,8.819152508,605.5
,1,919.2094032,611.5,16,5.53,4,2,,0.742725131,919.2094032,2.963414458,8.216329507,611.5
,1,791.7942384,628,13,8.88,4,2,,0.948412966,791.7942384,2.898612337,7.434793852,628
,1,609.7725744,661.5,10,11.57,4,2,,1.063333359,609.7725744,2.785167887,6.413086059,661.5
,2,1629.093893,781.5,30,1.87,4,2,,0.271841607,1629.093893,3.211946116,10.92446272,781.5
,2,1578.127827,786.5,23,5.12,4,2,,0.709269961,1578.127827,3.198142178,10.0277563,786.5
,2,1495.30797,792,19,9.43,4,2,,0.974511693,1495.30797,3.174730648,9.347800669,792
,2,1380.634321,803.5,16,14.96,4,2,,1.174931594,1380.634321,3.140078665,8.706146694,803.5
,2,1172.219516,826,13,23.39,4,2,,1.369030222,1172.219516,3.069008948,7.871852528,826
,2,883.7151787,879,10,29.1,4,2,,1.463892989,883.7151787,2.946312315,6.784134815,879
,3,3086.177313,1229,30,8.9,4,2,,0.949390007,3086.177313,3.489420874,11.86820914,1229
,3,2969.683448,1236,23,24.29,4,2,,1.385427515,2969.683448,3.472710158,10.88866262,1236
,3,2796.762867,1248,19,44.28,4,2,,1.646207612,2796.762867,3.446655645,10.14846723,1248
,3,2543.752754,1270,16,68.73,4,2,,1.837146344,2543.752754,3.405474897,9.441981293,1270
,3,2149.675852,1317,13,100.36,4,2,,2.001560653,2149.675852,3.332372978,8.547367929,1317
,3,0,0,10,0,4,2,,#NUM!,0,#NUM!,#NUM!,0
14,1,1604.824338,617.5,30,0.54,5,3,,-0.26760624,1604.824338,3.205427502,10.90229163,617.5
,1,1561.341385,617,23,1.49,5,3,,0.173186268,1561.341385,3.193497871,10.0131941,617
,1,1492.577645,618.5,19,2.8,5,3,,0.447158031,1492.577645,3.173936933,9.345463622,618.5
,1,1401.566813,624.5,16,4.65,5,3,,0.667452953,1401.566813,3.146613806,8.72426595,624.5
,1,1228.646232,638.5,13,7.77,5,3,,0.890421019,1228.646232,3.089426853,7.924223422,638.5
,1,957.6361989,671.5,10,10.52,5,3,,1.02201574,957.6361989,2.981200554,6.864467955,671.5
,2,2433.629648,792,30,1.52,5,3,,0.181843588,2433.629648,3.386254488,11.5173199,792
,2,2370.832174,796.5,23,4.09,5,3,,0.611723308,2370.832174,3.374900812,10.58198198,796.5
,2,2260.709067,801.5,19,7.79,5,3,,0.891537458,2260.709067,3.354244676,9.87636877,801.5
,2,2112.361411,812.5,16,12.61,5,3,,1.100715087,2112.361411,3.324768225,9.218214885,812.5
,2,1823.857073,835,13,20.61,5,3,,1.314077992,1823.857073,3.260990802,8.364276262,835
,2,1397.92638,886.5,10,26.59,5,3,,1.424718337,1397.92638,3.1454843,7.24274526,886.5
,3,4629.721024,1240,30,7.9,5,3,,0.897627091,4629.721024,3.665554822,12.46727546,1240
,3,4465.901526,1247,23,21.17,5,3,,1.325720858,4465.901526,3.649909143,11.44426901,1247
,3,4230.183471,1260,19,38.57,5,3,,1.586249639,4230.183471,3.626359204,10.67759339,1260
,3,3889.80296,1281,16,60.79,5,3,,1.783832143,3889.80296,3.589927602,9.953392784,1281
,3,0,0,13,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,10,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
15,1,1982.013675,622,30,0.46,5,3,,-0.337242168,1982.013675,3.297106647,11.21411049,622
,1,1930.44087,621,23,1.25,5,3,,0.096910013,1930.44087,3.285656504,10.30215696,621
,1,1866.733287,624.5,19,2.35,5,3,,0.371067862,1866.733287,3.271082272,9.631502145,624.5
,1,1774.711224,632,16,3.95,5,3,,0.596597096,1774.711224,3.249127696,9.008494807,632
,1,1569.431236,645,13,6.83,5,3,,0.834420704,1569.431236,3.195742292,8.196917139,645
,1,1255.949482,679.5,10,9.68,5,3,,0.985875357,1255.949482,3.098972171,7.135647125,679.5
,2,3081.626772,804.5,30,1.3,5,3,,0.113943352,3081.626772,3.488780038,11.86602953,804.5
,2,3011.548431,809.5,23,3.55,5,3,,0.550228353,3011.548431,3.478789852,10.90772546,809.5
,2,2882.313049,812.5,19,6.65,5,3,,0.822821645,2882.313049,3.459741148,10.18699669,812.5
,2,2720.313768,824,16,10.96,5,3,,1.039810554,2720.313768,3.434619,9.522785903,824
